Type,Module,Title,Description,Priority,Status
Epic,All,University Management System,Top-level epic for UMS,High,Planned
Story,Facilities,Rooms CRUD,Create/list/edit/delete rooms,High,Planned
Story,Facilities,Reservations CRUD,Schedule rooms and labs,High,Planned
Story,Facilities,Equipment CRUD,Inventory and allocation to staff/rooms,Medium,Planned
Story,Curriculum,Courses CRUD,Manage courses core/elective,High,Planned
Story,Curriculum,Assessments and Grades,Create assignments/exams and grades,High,Planned
Story,Staff,Staff Profiles,Directory of professors/TAs with office hours,Medium,Planned
Story,Staff,Performance Tracking,Record performance entries,Low,Planned
Story,Staff,Payroll Entries,Simple payroll records,Low,Planned
Story,Community,Announcements,Post university-wide announcements,Medium,Planned
Story,Community,Messages,Direct messages between users,Medium,Planned
Story,Community,Events,Calendar of events,Low,Planned
Task,All,Auth & Roles,Admin/Staff/Student roles via users.role,High,Planned
Task,All,EAV Model,Flexible attributes for Equipment,Medium,Planned
Task,All,Seeder,Create admin user and some sample data,High,Planned
